

community_or_church,town_or_region,founding_year,colony,belief_group,metric_type,metric_value,source_url,source_notes
Bethlehem Congregation,Bethlehem,1741,Pennsylvania,Moravian (Unitas Fratrum),congregation_founded,1,https://www.moravianchurcharchives.org/bethlehem-congregation/,Founded Christmas Eve 1741 by Count Zinzendorf and Moravian missionaries; became headquarters of Moravian activity in North America.
Nazareth Congregation,Nazareth,1740,Pennsylvania,Moravian (Unitas Fratrum),congregation_founded,1,https://www.moravianchurcharchives.org/nazareth/,Settlement established 1740; Nazareth Hall later served as key Moravian educational center.
Lititz Congregation,Lititz,1756,Pennsylvania,Moravian (Unitas Fratrum),congregation_founded,1,https://www.lititzmoravian.org/history/,Founded 1756; became one of the major Moravian settlements in Pennsylvania.
Emmaus Congregation,Emmaus,1759,Pennsylvania,Moravian (Unitas Fratrum),congregation_founded,1,https://www.emmausmoravian.org/history,Organized 1759; originally named Salisbury; developed as communal village along Bethlehem model.
Bethabara Congregation,Bethabara (near Winston-Salem),1753,North Carolina,Moravian (Unitas Fratrum),congregation_founded,1,https://www.visitwinstonsalem.com/listing/bethabara-park/,Founded 1753; first Moravian settlement in North Carolina; precursor to Salem and Wachovia tract communities.
Salem Congregation,Salem (Winston-Salem),1766,North Carolina,Moravian (Unitas Fratrum),congregation_founded,1,https://www.moravian.org/southern-province/history/,Established 1766; became principal congregation of Southern Province.
Savannah Mission (short-lived),Savannah,1735,Georgia,Moravian (Unitas Fratrum),congregation_founded,1,https://www.moravian.org/2022/06/moravians-in-georgia-1735-1740/,Moravian missionaries established mission in 1735; abandoned 1740 due to conflicts and local hostility.
Hope Congregation,Hope,1749,Pennsylvania,Moravian (Unitas Fratrum),congregation_founded,1,https://www.hopemoravian.org/history,Founded 1749; offshoot from Bethlehem; incorporated communal economy until late 18th century.
Gnadenhütten Mission (Lehigh),Lehigh River Valley,1746,Pennsylvania,Moravian (Unitas Fratrum),congregation_founded,1,https://www.moravianchurcharchives.org/gnadenhutten/,Mission to Native Americans; founded 1746; destroyed during French and Indian War (1755).
New Dorp Congregation,Staten Island,1763,New York,Moravian (Unitas Fratrum),congregation_founded,1,https://www.moravianchurcharchives.org/nyc/,Organized 1763; one of the earliest Moravian congregations in New York region.
